File Path,Category,Registered?,Size (MB),Priority,Action,Notes
DATA/processed/fundamental/bank_full.parquet,Fundamental,No,?,Medium,Audit,"Full vs metrics - clarify purpose"
DATA/processed/fundamental/company_full.parquet,Fundamental,No,?,Medium,Audit,"Full vs metrics - clarify purpose"
DATA/processed/fundamental/insurance_full.parquet,Fundamental,No,?,Medium,Audit,"Full vs metrics - clarify purpose"
DATA/processed/fundamental/security_full.parquet,Fundamental,No,?,Medium,Audit,"Full vs metrics - clarify purpose"
DATA/processed/fundamental/macro/deposit_interest_rates.parquet,Macro,No,?,Critical,Register,"Important economic indicator"
DATA/processed/fundamental/macro/exchange_rates.parquet,Macro,No,?,Critical,Register,"Important economic indicator"
DATA/processed/fundamental/macro/gov_bond_yields.parquet,Macro,No,?,Critical,Register,"Important economic indicator"
DATA/processed/fundamental/macro/interest_rates.parquet,Macro,No,?,Critical,Register,"Important economic indicator"
DATA/processed/sector/sector_fundamental_metrics.parquet,Sector,No,?,Critical,Register,"Complements sector_valuation"
DATA/processed/stock_valuation/individual_pe.parquet,Valuation,No,?,High,Audit,"Potential duplicate vs valuation/pe/"
DATA/processed/stock_valuation/individual_pb.parquet,Valuation,No,?,High,Audit,"Potential duplicate vs valuation/pb/"
DATA/processed/stock_valuation/individual_ev_ebitda.parquet,Valuation,No,?,High,Audit,"Potential duplicate vs valuation/ev_ebitda/"
DATA/processed/technical/alerts/daily/breakout_latest.parquet,Technical,No,?,High,Register,"Stock scanner alerts - daily"
DATA/processed/technical/alerts/daily/combined_latest.parquet,Technical,No,?,High,Register,"Stock scanner alerts - daily"
DATA/processed/technical/alerts/daily/ma_crossover_latest.parquet,Technical,No,?,High,Register,"Stock scanner alerts - daily"
DATA/processed/technical/alerts/daily/patterns_latest.parquet,Technical,No,?,High,Register,"Stock scanner alerts - daily"
DATA/processed/technical/alerts/daily/volume_spike_latest.parquet,Technical,No,?,High,Register,"Stock scanner alerts - daily"
DATA/processed/technical/alerts/historical/breakout_history.parquet,Technical,No,?,High,Register,"Stock scanner alerts - historical"
DATA/processed/technical/alerts/historical/combined_history.parquet,Technical,No,?,High,Register,"Stock scanner alerts - historical"
DATA/processed/technical/alerts/historical/ma_crossover_history.parquet,Technical,No,?,High,Register,"Stock scanner alerts - historical"
DATA/processed/technical/alerts/historical/patterns_history.parquet,Technical,No,?,High,Register,"Stock scanner alerts - historical"
DATA/processed/technical/alerts/historical/volume_spike_history.parquet,Technical,No,?,High,Register,"Stock scanner alerts - historical"
DATA/processed/technical/money_flow/individual_money_flow.parquet,Technical,No,?,High,Register,"Money flow analysis - individual stocks"
DATA/processed/technical/money_flow/sector_money_flow.parquet,Technical,No,?,High,Register,"Money flow analysis - sector"
DATA/processed/technical/money_flow/sector_money_flow_1d.parquet,Technical,No,?,High,Register,"Money flow analysis - sector 1-day"
DATA/processed/technical/money_flow/sector_money_flow_1m.parquet,Technical,No,?,High,Register,"Money flow analysis - sector 1-month"
DATA/processed/technical/money_flow/sector_money_flow_1w.parquet,Technical,No,?,High,Register,"Money flow analysis - sector 1-week"
DATA/processed/technical/market_regime/market_regime_history.parquet,Technical,No,?,High,Register,"Market regime state history"
DATA/processed/technical/rs_rating/stock_rs_rating_daily.parquet,Technical,No,?,High,Register,"Relative strength rating by stock"
DATA/processed/technical/sector_breadth/sector_breadth_daily.parquet,Technical,No,?,High,Register,"Sector breadth indicator"
DATA/processed/technical/vnindex/vnindex_indicators.parquet,Technical,No,?,High,Register,"VN-Index technical indicators"
DATA/processed/valuation/ev_ebitda/historical/ev_ebitda_historical_test.parquet,Valuation,No,?,Critical,Delete,"ORPHANED TEST FILE - REMOVE"
DATA/processed/valuation/ev_ebitda/historical/historical_ev_ebitda.parquet,Valuation,No,?,High,Register,"EV/EBITDA historical multiples"
DATA/processed/valuation/ps/historical/historical_ps.parquet,Valuation,No,?,Critical,Register,"Price/Sales ratio - valuation metric"
DATA/processed/forecast/bsc/bsc_combined.parquet,Forecast,No,?,Medium,Audit/Register,"BSC combined forecast - unclear if needed"
DATA/processed/forecast/VCI/vci_coverage_universe.parquet,Forecast,No,?,Medium,Register,"VCI coverage universe"
DATA/raw/news/news_raw_20251127_102844.parquet,Raw News,No,?,Low,Consolidate,"News snapshot 1 of 4"
DATA/raw/news/news_raw_20251127_103110.parquet,Raw News,No,?,Low,Consolidate,"News snapshot 2 of 4"
DATA/raw/news/news_raw_20251127_103804.parquet,Raw News,No,?,Low,Consolidate,"News snapshot 3 of 4"
DATA/raw/news/news_raw_20251128_074622.parquet,Raw News,No,?,Low,Consolidate,"News snapshot 4 of 4"
